"lib_reg","annee","duree_cat","LOS_nb","LOS_pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,"[-1,0]",928,17.8
"AUVERGNE-RHÃ”NE-ALPES",2021,"(0,3]",3570,68.3
"AUVERGNE-RHÃ”NE-ALPES",2021,"(3,6]",624,11.9
"AUVERGNE-RHÃ”NE-ALPES",2021,"(6,225]",106,2
"AUVERGNE-RHÃ”NE-ALPES",2022,"[-1,0]",810,17.9
"AUVERGNE-RHÃ”NE-ALPES",2022,"(0,3]",3310,73
"AUVERGNE-RHÃ”NE-ALPES",2022,"(3,6]",349,7.7
"AUVERGNE-RHÃ”NE-ALPES",2022,"(6,225]",65,1.4
"AUVERGNE-RHÃ”NE-ALPES",2023,"[-1,0]",806,18.7
"AUVERGNE-RHÃ”NE-ALPES",2023,"(0,3]",3190,74
"AUVERGNE-RHÃ”NE-ALPES",2023,"(3,6]",256,5.9
"AUVERGNE-RHÃ”NE-ALPES",2023,"(6,225]",60,1.4
"AUVERGNE-RHÃ”NE-ALPES",2024,"[-1,0]",654,16.1
"AUVERGNE-RHÃ”NE-ALPES",2024,"(0,3]",3123,76.8
"AUVERGNE-RHÃ”NE-ALPES",2024,"(3,6]",229,5.6
"AUVERGNE-RHÃ”NE-ALPES",2024,"(6,225]",62,1.5
"AUVERGNE-RHÃ”NE-ALPES",2025,"[-1,0]",354,17.3
"AUVERGNE-RHÃ”NE-ALPES",2025,"(0,3]",1553,76
"AUVERGNE-RHÃ”NE-ALPES",2025,"(3,6]",106,5.2
"AUVERGNE-RHÃ”NE-ALPES",2025,"(6,225]",31,1.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"[-1,0]",62,4
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(0,3]",1086,69.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(3,6]",363,23.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"(6,225]",56,3.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"[-1,0]",75,5.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(0,3]",1002,74.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(3,6]",241,17.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"(6,225]",34,2.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"[-1,0]",42,3.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(0,3]",995,77.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(3,6]",214,16.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"(6,225]",38,2.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"[-1,0]",73,5.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(0,3]",946,75.7
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(3,6]",199,15.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"(6,225]",32,2.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"[-1,0]",43,6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(0,3]",597,83
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(3,6]",55,7.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"(6,225]",24,3.3
"BRETAGNE",2021,"[-1,0]",38,3
"BRETAGNE",2021,"(0,3]",1004,80.1
"BRETAGNE",2021,"(3,6]",174,13.9
"BRETAGNE",2021,"(6,225]",37,3
"BRETAGNE",2022,"[-1,0]",27,2.3
"BRETAGNE",2022,"(0,3]",979,82.3
"BRETAGNE",2022,"(3,6]",151,12.7
"BRETAGNE",2022,"(6,225]",32,2.7
"BRETAGNE",2023,"[-1,0]",17,1.4
"BRETAGNE",2023,"(0,3]",1000,83.6
"BRETAGNE",2023,"(3,6]",151,12.6
"BRETAGNE",2023,"(6,225]",28,2.3
"BRETAGNE",2024,"[-1,0]",5,0.5
"BRETAGNE",2024,"(0,3]",923,87.2
"BRETAGNE",2024,"(3,6]",101,9.5
"BRETAGNE",2024,"(6,225]",29,2.7
"BRETAGNE",2025,"(0,3]",465,88.4
"BRETAGNE",2025,"(3,6]",48,9.1
"BRETAGNE",2025,"(6,225]",13,2.5
"CENTRE-VAL DE LOIRE",2021,"[-1,0]",2,0.3
"CENTRE-VAL DE LOIRE",2021,"(0,3]",492,70.6
"CENTRE-VAL DE LOIRE",2021,"(3,6]",169,24.2
"CENTRE-VAL DE LOIRE",2021,"(6,225]",34,4.9
"CENTRE-VAL DE LOIRE",2022,"[-1,0]",3,0.4
"CENTRE-VAL DE LOIRE",2022,"(0,3]",526,72.3
"CENTRE-VAL DE LOIRE",2022,"(3,6]",170,23.4
"CENTRE-VAL DE LOIRE",2022,"(6,225]",29,4
"CENTRE-VAL DE LOIRE",2023,"(0,3]",587,77.6
"CENTRE-VAL DE LOIRE",2023,"(3,6]",140,18.5
"CENTRE-VAL DE LOIRE",2023,"(6,225]",29,3.8
"CENTRE-VAL DE LOIRE",2024,"[-1,0]",1,0.1
"CENTRE-VAL DE LOIRE",2024,"(0,3]",559,81.6
"CENTRE-VAL DE LOIRE",2024,"(3,6]",96,14
"CENTRE-VAL DE LOIRE",2024,"(6,225]",29,4.2
"CENTRE-VAL DE LOIRE",2025,"[-1,0]",1,0.3
"CENTRE-VAL DE LOIRE",2025,"(0,3]",312,83.9
"CENTRE-VAL DE LOIRE",2025,"(3,6]",50,13.4
"CENTRE-VAL DE LOIRE",2025,"(6,225]",9,2.4
"CORSE",2021,"[-1,0]",2,1.6
"CORSE",2021,"(0,3]",78,60.9
"CORSE",2021,"(3,6]",42,32.8
"CORSE",2021,"(6,225]",6,4.7
"CORSE",2022,"[-1,0]",2,1.9
"CORSE",2022,"(0,3]",53,51.5
"CORSE",2022,"(3,6]",40,38.8
"CORSE",2022,"(6,225]",8,7.8
"CORSE",2023,"[-1,0]",1,1.1
"CORSE",2023,"(0,3]",53,57.6
"CORSE",2023,"(3,6]",36,39.1
"CORSE",2023,"(6,225]",2,2.2
"CORSE",2024,"[-1,0]",1,1.2
"CORSE",2024,"(0,3]",50,59.5
"CORSE",2024,"(3,6]",30,35.7
"CORSE",2024,"(6,225]",3,3.6
"CORSE",2025,"(0,3]",44,80
"CORSE",2025,"(3,6]",11,20
"GRAND EST",2021,"[-1,0]",196,6.2
"GRAND EST",2021,"(0,3]",2456,78.2
"GRAND EST",2021,"(3,6]",443,14.1
"GRAND EST",2021,"(6,225]",47,1.5
"GRAND EST",2022,"[-1,0]",140,4.5
"GRAND EST",2022,"(0,3]",2506,80.4
"GRAND EST",2022,"(3,6]",426,13.7
"GRAND EST",2022,"(6,225]",46,1.5
"GRAND EST",2023,"[-1,0]",127,4
"GRAND EST",2023,"(0,3]",2623,82.5
"GRAND EST",2023,"(3,6]",368,11.6
"GRAND EST",2023,"(6,225]",61,1.9
"GRAND EST",2024,"[-1,0]",127,4.5
"GRAND EST",2024,"(0,3]",2351,83.3
"GRAND EST",2024,"(3,6]",288,10.2
"GRAND EST",2024,"(6,225]",58,2.1
"GRAND EST",2025,"[-1,0]",38,2.6
"GRAND EST",2025,"(0,3]",1270,85.6
"GRAND EST",2025,"(3,6]",146,9.8
"GRAND EST",2025,"(6,225]",30,2
"GUADELOUPE",2021,"(0,3]",141,71.6
"GUADELOUPE",2021,"(3,6]",44,22.3
"GUADELOUPE",2021,"(6,225]",12,6.1
"GUADELOUPE",2022,"(0,3]",166,69.2
"GUADELOUPE",2022,"(3,6]",67,27.9
"GUADELOUPE",2022,"(6,225]",7,2.9
"GUADELOUPE",2023,"(0,3]",171,71.5
"GUADELOUPE",2023,"(3,6]",55,23
"GUADELOUPE",2023,"(6,225]",13,5.4
"GUADELOUPE",2024,"(0,3]",132,72.9
"GUADELOUPE",2024,"(3,6]",40,22.1
"GUADELOUPE",2024,"(6,225]",9,5
"GUADELOUPE",2025,"(0,3]",51,70.8
"GUADELOUPE",2025,"(3,6]",16,22.2
"GUADELOUPE",2025,"(6,225]",5,6.9
"HAUTS-DE-FRANCE",2021,"[-1,0]",104,2.6
"HAUTS-DE-FRANCE",2021,"(0,3]",3003,75.5
"HAUTS-DE-FRANCE",2021,"(3,6]",761,19.1
"HAUTS-DE-FRANCE",2021,"(6,225]",107,2.7
"HAUTS-DE-FRANCE",2022,"[-1,0]",66,1.7
"HAUTS-DE-FRANCE",2022,"(0,3]",3058,77.2
"HAUTS-DE-FRANCE",2022,"(3,6]",748,18.9
"HAUTS-DE-FRANCE",2022,"(6,225]",87,2.2
"HAUTS-DE-FRANCE",2023,"[-1,0]",63,1.6
"HAUTS-DE-FRANCE",2023,"(0,3]",3021,78.3
"HAUTS-DE-FRANCE",2023,"(3,6]",669,17.3
"HAUTS-DE-FRANCE",2023,"(6,225]",106,2.7
"HAUTS-DE-FRANCE",2024,"[-1,0]",64,1.8
"HAUTS-DE-FRANCE",2024,"(0,3]",2824,79.4
"HAUTS-DE-FRANCE",2024,"(3,6]",574,16.1
"HAUTS-DE-FRANCE",2024,"(6,225]",93,2.6
"HAUTS-DE-FRANCE",2025,"[-1,0]",37,2
"HAUTS-DE-FRANCE",2025,"(0,3]",1508,80.5
"HAUTS-DE-FRANCE",2025,"(3,6]",282,15.1
"HAUTS-DE-FRANCE",2025,"(6,225]",46,2.5
"ILE-DE-FRANCE",2021,"[-1,0]",196,2.6
"ILE-DE-FRANCE",2021,"(0,3]",4970,66.2
"ILE-DE-FRANCE",2021,"(3,6]",2027,27
"ILE-DE-FRANCE",2021,"(6,225]",313,4.2
"ILE-DE-FRANCE",2022,"[-1,0]",130,1.9
"ILE-DE-FRANCE",2022,"(0,3]",4740,68.1
"ILE-DE-FRANCE",2022,"(3,6]",1809,26
"ILE-DE-FRANCE",2022,"(6,225]",278,4
"ILE-DE-FRANCE",2023,"[-1,0]",121,1.9
"ILE-DE-FRANCE",2023,"(0,3]",4443,70.3
"ILE-DE-FRANCE",2023,"(3,6]",1529,24.2
"ILE-DE-FRANCE",2023,"(6,225]",227,3.6
"ILE-DE-FRANCE",2024,"[-1,0]",74,1.3
"ILE-DE-FRANCE",2024,"(0,3]",3959,71.6
"ILE-DE-FRANCE",2024,"(3,6]",1249,22.6
"ILE-DE-FRANCE",2024,"(6,225]",248,4.5
"ILE-DE-FRANCE",2025,"[-1,0]",37,1.3
"ILE-DE-FRANCE",2025,"(0,3]",2142,74.1
"ILE-DE-FRANCE",2025,"(3,6]",615,21.3
"ILE-DE-FRANCE",2025,"(6,225]",97,3.4
"LA RÃ‰UNION",2021,"[-1,0]",5,1.2
"LA RÃ‰UNION",2021,"(0,3]",200,49.1
"LA RÃ‰UNION",2021,"(3,6]",177,43.5
"LA RÃ‰UNION",2021,"(6,225]",25,6.1
"LA RÃ‰UNION",2022,"(0,3]",207,43.1
"LA RÃ‰UNION",2022,"(3,6]",242,50.4
"LA RÃ‰UNION",2022,"(6,225]",31,6.5
"LA RÃ‰UNION",2023,"(0,3]",247,52.1
"LA RÃ‰UNION",2023,"(3,6]",204,43
"LA RÃ‰UNION",2023,"(6,225]",23,4.9
"LA RÃ‰UNION",2024,"(0,3]",230,57.8
"LA RÃ‰UNION",2024,"(3,6]",148,37.2
"LA RÃ‰UNION",2024,"(6,225]",20,5
"LA RÃ‰UNION",2025,"[-1,0]",1,0.6
"LA RÃ‰UNION",2025,"(0,3]",94,56.6
"LA RÃ‰UNION",2025,"(3,6]",61,36.7
"LA RÃ‰UNION",2025,"(6,225]",10,6
"MARTINIQUE",2021,"(0,3]",49,55.7
"MARTINIQUE",2021,"(3,6]",35,39.8
"MARTINIQUE",2021,"(6,225]",4,4.5
"MARTINIQUE",2022,"(0,3]",39,48.8
"MARTINIQUE",2022,"(3,6]",36,45
"MARTINIQUE",2022,"(6,225]",5,6.2
"MARTINIQUE",2023,"(0,3]",60,65.9
"MARTINIQUE",2023,"(3,6]",27,29.7
"MARTINIQUE",2023,"(6,225]",4,4.4
"MARTINIQUE",2024,"(0,3]",55,67.9
"MARTINIQUE",2024,"(3,6]",21,25.9
"MARTINIQUE",2024,"(6,225]",5,6.2
"MARTINIQUE",2025,"(0,3]",32,88.9
"MARTINIQUE",2025,"(3,6]",4,11.1
"NORMANDIE",2021,"[-1,0]",6,0.3
"NORMANDIE",2021,"(0,3]",1535,83
"NORMANDIE",2021,"(3,6]",259,14
"NORMANDIE",2021,"(6,225]",50,2.7
"NORMANDIE",2022,"[-1,0]",7,0.4
"NORMANDIE",2022,"(0,3]",1514,83.4
"NORMANDIE",2022,"(3,6]",236,13
"NORMANDIE",2022,"(6,225]",58,3.2
"NORMANDIE",2023,"[-1,0]",22,1.3
"NORMANDIE",2023,"(0,3]",1443,86.6
"NORMANDIE",2023,"(3,6]",152,9.1
"NORMANDIE",2023,"(6,225]",49,2.9
"NORMANDIE",2024,"[-1,0]",14,0.9
"NORMANDIE",2024,"(0,3]",1378,88.8
"NORMANDIE",2024,"(3,6]",114,7.3
"NORMANDIE",2024,"(6,225]",46,3
"NORMANDIE",2025,"[-1,0]",5,0.6
"NORMANDIE",2025,"(0,3]",730,88.6
"NORMANDIE",2025,"(3,6]",67,8.1
"NORMANDIE",2025,"(6,225]",22,2.7
"NOUVELLE-AQUITAINE",2021,"[-1,0]",7,0.3
"NOUVELLE-AQUITAINE",2021,"(0,3]",1928,71.7
"NOUVELLE-AQUITAINE",2021,"(3,6]",654,24.3
"NOUVELLE-AQUITAINE",2021,"(6,225]",101,3.8
"NOUVELLE-AQUITAINE",2022,"[-1,0]",2,0.1
"NOUVELLE-AQUITAINE",2022,"(0,3]",1928,75.1
"NOUVELLE-AQUITAINE",2022,"(3,6]",539,21
"NOUVELLE-AQUITAINE",2022,"(6,225]",97,3.8
"NOUVELLE-AQUITAINE",2023,"[-1,0]",4,0.2
"NOUVELLE-AQUITAINE",2023,"(0,3]",2102,81.7
"NOUVELLE-AQUITAINE",2023,"(3,6]",385,15
"NOUVELLE-AQUITAINE",2023,"(6,225]",82,3.2
"NOUVELLE-AQUITAINE",2024,"[-1,0]",4,0.2
"NOUVELLE-AQUITAINE",2024,"(0,3]",2192,84.3
"NOUVELLE-AQUITAINE",2024,"(3,6]",331,12.7
"NOUVELLE-AQUITAINE",2024,"(6,225]",74,2.8
"NOUVELLE-AQUITAINE",2025,"[-1,0]",2,0.2
"NOUVELLE-AQUITAINE",2025,"(0,3]",1022,84
"NOUVELLE-AQUITAINE",2025,"(3,6]",140,11.5
"NOUVELLE-AQUITAINE",2025,"(6,225]",52,4.3
"OCCITANIE",2021,"[-1,0]",32,0.8
"OCCITANIE",2021,"(0,3]",2813,74.7
"OCCITANIE",2021,"(3,6]",811,21.5
"OCCITANIE",2021,"(6,225]",110,2.9
"OCCITANIE",2022,"[-1,0]",125,3.4
"OCCITANIE",2022,"(0,3]",2734,74.8
"OCCITANIE",2022,"(3,6]",676,18.5
"OCCITANIE",2022,"(6,225]",120,3.3
"OCCITANIE",2023,"[-1,0]",70,2.1
"OCCITANIE",2023,"(0,3]",2539,77.8
"OCCITANIE",2023,"(3,6]",555,17
"OCCITANIE",2023,"(6,225]",100,3.1
"OCCITANIE",2024,"[-1,0]",46,1.5
"OCCITANIE",2024,"(0,3]",2312,77.3
"OCCITANIE",2024,"(3,6]",516,17.3
"OCCITANIE",2024,"(6,225]",117,3.9
"OCCITANIE",2025,"[-1,0]",22,1.5
"OCCITANIE",2025,"(0,3]",1094,77
"OCCITANIE",2025,"(3,6]",262,18.4
"OCCITANIE",2025,"(6,225]",43,3
"PAYS DE LA LOIRE",2021,"[-1,0]",76,5.1
"PAYS DE LA LOIRE",2021,"(0,3]",1169,78.4
"PAYS DE LA LOIRE",2021,"(3,6]",213,14.3
"PAYS DE LA LOIRE",2021,"(6,225]",33,2.2
"PAYS DE LA LOIRE",2022,"[-1,0]",83,5.5
"PAYS DE LA LOIRE",2022,"(0,3]",1246,82
"PAYS DE LA LOIRE",2022,"(3,6]",172,11.3
"PAYS DE LA LOIRE",2022,"(6,225]",19,1.3
"PAYS DE LA LOIRE",2023,"[-1,0]",74,5.4
"PAYS DE LA LOIRE",2023,"(0,3]",1127,81.8
"PAYS DE LA LOIRE",2023,"(3,6]",160,11.6
"PAYS DE LA LOIRE",2023,"(6,225]",16,1.2
"PAYS DE LA LOIRE",2024,"[-1,0]",76,5.8
"PAYS DE LA LOIRE",2024,"(0,3]",1060,81.5
"PAYS DE LA LOIRE",2024,"(3,6]",144,11.1
"PAYS DE LA LOIRE",2024,"(6,225]",21,1.6
"PAYS DE LA LOIRE",2025,"[-1,0]",48,7.5
"PAYS DE LA LOIRE",2025,"(0,3]",506,79.6
"PAYS DE LA LOIRE",2025,"(3,6]",69,10.8
"PAYS DE LA LOIRE",2025,"(6,225]",13,2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"[-1,0]",142,4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"(0,3]",2665,74.3
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"(3,6]",678,18.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"(6,225]",104,2.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"[-1,0]",84,2.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"(0,3]",2559,77.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"(3,6]",548,16.7
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"(6,225]",95,2.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"[-1,0]",81,2.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"(0,3]",2452,78.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"(3,6]",516,16.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"(6,225]",77,2.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"[-1,0]",96,3.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"(0,3]",2237,79.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"(3,6]",410,14.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"(6,225]",67,2.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"[-1,0]",81,5.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"(0,3]",1314,82.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"(3,6]",159,10
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"(6,225]",38,2.4
