"finessGeoDP","lib_reg","statut","vda","n","TOT","PCT_app"
"020000162","HAUTS-DE-FRANCE","public","ROB",34,77,44.2
"050000348","PROVENCE-ALPES-CÃ”TE D'AZUR","public","ROB",23,49,46.9
"060780491","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",39,128,30.5
"060780590","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",5,24,20.8
"060780715","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",50,68,73.5
"060789195","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic","ROB",28,88,31.8
"070780424","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",3,92,3.3
"130043664","PROVENCE-ALPES-CÃ”TE D'AZUR","private not-for-profit","ROB",47,242,19.4
"130780521","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic","ROB",16,100,16
"130781479","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",26,145,17.9
"130783236","PROVENCE-ALPES-CÃ”TE D'AZUR","public academic","ROB",20,29,69
"130785652","PROVENCE-ALPES-CÃ”TE D'AZUR","private not-for-profit","ROB",5,99,5.1
"130786361","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",6,271,2.2
"140000209","NORMANDIE","public academic","ROB",1,91,1.1
"160000253","NOUVELLE-AQUITAINE","public","ROB",17,44,38.6
"160013207","NOUVELLE-AQUITAINE","private for profit","ROB",1,87,1.1
"170780563","NOUVELLE-AQUITAINE","private for profit","ROB",16,59,27.1
"210012670","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit","ROB",3,204,1.5
"210780789","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit","ROB",33,102,32.4
"210987558","BOURGOGNE-FRANCHE-COMTÃ‰","public academic","ROB",18,39,46.2
"220022800","BRETAGNE","private for profit","ROB",7,83,8.4
"250011848","BOURGOGNE-FRANCHE-COMTÃ‰","private for profit","ROB",35,202,17.3
"260000260","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",1,84,1.2
"280000084","CENTRE-VAL DE LOIRE","public","ROB",1,30,3.3
"290000025","BRETAGNE","public","ROB",1,29,3.4
"290036540","BRETAGNE","private for profit","ROB",1,39,2.6
"2B0000145","CORSE","private for profit","ROB",11,70,15.7
"300000023","OCCITANIE","public","ROB",1,41,2.4
"300782117","OCCITANIE","public academic","ROB",1,175,0.6
"300788502","OCCITANIE","private for profit","ROB",24,119,20.2
"310780283","OCCITANIE","private for profit","ROB",1,87,1.1
"310781505","OCCITANIE","private for profit","ROB",5,163,3.1
"310783055","OCCITANIE","public academic","ROB",23,111,20.7
"330000340","NOUVELLE-AQUITAINE","private not-for-profit","ROB",1,61,1.6
"330780263","NOUVELLE-AQUITAINE","private for profit","ROB",1,73,1.4
"330780479","NOUVELLE-AQUITAINE","private for profit","ROB",10,79,12.7
"330780529","NOUVELLE-AQUITAINE","private not-for-profit","ROB",16,240,6.7
"330783648","NOUVELLE-AQUITAINE","public academic","ROB",27,73,37
"340000033","OCCITANIE","public","ROB",52,84,61.9
"340015502","OCCITANIE","private for profit","ROB",2,180,1.1
"340782036","OCCITANIE","public academic","ROB",15,241,6.2
"350000121","BRETAGNE","private for profit","ROB",5,287,1.7
"350000139","BRETAGNE","private not-for-profit","ROB",1,76,1.3
"370000093","CENTRE-VAL DE LOIRE","private for profit","ROB",24,128,18.8
"380000067","AUVERGNE-RHÃ”NE-ALPES","public academic","ROB",24,107,22.4
"380785956","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",20,197,10.2
"400000105","NOUVELLE-AQUITAINE","public","ROB",18,104,17.3
"420010050","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit","ROB",44,238,18.5
"440029338","PAYS DE LA LOIRE","private not-for-profit","ROB",2,120,1.7
"440050433","PAYS DE LA LOIRE","private not-for-profit","ROB",13,87,14.9
"450002613","CENTRE-VAL DE LOIRE","public academic","ROB",56,149,37.6
"470000027","NOUVELLE-AQUITAINE","private for profit","ROB",15,78,19.2
"490000049","PAYS DE LA LOIRE","public academic","ROB",1,42,2.4
"490014909","PAYS DE LA LOIRE","private for profit","ROB",25,331,7.6
"510002447","GRAND EST","public academic","ROB",10,88,11.4
"540002698","GRAND EST","public academic","ROB",60,241,24.9
"560000135","BRETAGNE","public","ROB",10,40,25
"570000646","GRAND EST","private for profit","ROB",3,71,4.2
"570026252","GRAND EST","private not-for-profit","ROB",7,62,11.3
"570026682","GRAND EST","public academic","ROB",13,37,35.1
"590000337","HAUTS-DE-FRANCE","public","ROB",2,57,3.5
"590000428","HAUTS-DE-FRANCE","public","ROB",38,63,60.3
"590000618","HAUTS-DE-FRANCE","public","ROB",19,92,20.7
"590780284","HAUTS-DE-FRANCE","private not-for-profit","ROB",42,133,31.6
"590780383","HAUTS-DE-FRANCE","private for profit","ROB",2,347,0.6
"590801106","HAUTS-DE-FRANCE","public","ROB",6,35,17.1
"590811279","HAUTS-DE-FRANCE","public academic","ROB",41,201,20.4
"590816310","HAUTS-DE-FRANCE","private for profit","ROB",3,81,3.7
"590817458","HAUTS-DE-FRANCE","private for profit","ROB",1,40,2.5
"620000653","HAUTS-DE-FRANCE","public","ROB",7,57,12.3
"620003376","HAUTS-DE-FRANCE","private not-for-profit","ROB",7,73,9.6
"620100099","HAUTS-DE-FRANCE","private for profit","ROB",1,49,2
"630781268","AUVERGNE-RHÃ”NE-ALPES","public academic","ROB",3,37,8.1
"640000162","NOUVELLE-AQUITAINE","public","ROB",6,59,10.2
"660000084","OCCITANIE","public","ROB",14,30,46.7
"660006305","OCCITANIE","private for profit","ROB",3,48,6.2
"670000025","GRAND EST","public academic","ROB",20,195,10.3
"670780386","GRAND EST","private for profit","ROB",1,10,10
"680000684","GRAND EST","public","ROB",21,202,10.4
"680004546","GRAND EST","public","ROB",10,54,18.5
"690023411","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",1,65,1.5
"690780655","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",33,242,13.6
"690783154","AUVERGNE-RHÃ”NE-ALPES","public academic","ROB",27,110,24.5
"690805361","AUVERGNE-RHÃ”NE-ALPES","private not-for-profit","ROB",2,55,3.6
"710978263","BOURGOGNE-FRANCHE-COMTÃ‰","public","ROB",25,53,47.2
"730000031","AUVERGNE-RHÃ”NE-ALPES","public","ROB",2,67,3
"740014345","AUVERGNE-RHÃ”NE-ALPES","private for profit","ROB",1,72,1.4
"740781141","AUVERGNE-RHÃ”NE-ALPES","public","ROB",26,159,16.4
"750100125","ILE-DE-FRANCE","public academic","ROB",41,97,42.3
"750100232","ILE-DE-FRANCE","public academic","ROB",38,191,19.9
"750150237","ILE-DE-FRANCE","private not-for-profit","ROB",9,104,8.7
"750300360","ILE-DE-FRANCE","private for profit","ROB",2,152,1.3
"750300766","ILE-DE-FRANCE","private for profit","ROB",2,184,1.1
"750803447","ILE-DE-FRANCE","public academic","ROB",20,102,19.6
"760000158","NORMANDIE","public academic","ROB",11,90,12.2
"760025312","NORMANDIE","private for profit","ROB",1,73,1.4
"770000446","ILE-DE-FRANCE","public","ROB",35,56,62.5
"770019032","ILE-DE-FRANCE","public","ROB",5,69,7.2
"780000311","ILE-DE-FRANCE","public","ROB",11,63,17.5
"780300414","ILE-DE-FRANCE","private for profit","ROB",3,225,1.3
"800006124","HAUTS-DE-FRANCE","public academic","ROB",9,103,8.7
"810101170","OCCITANIE","private for profit","ROB",30,111,27
"830000345","PROVENCE-ALPES-CÃ”TE D'AZUR","public","ROB",15,82,18.3
"830100434","PROVENCE-ALPES-CÃ”TE D'AZUR","private for profit","ROB",1,65,1.5
"850000142","PAYS DE LA LOIRE","public","ROB",13,62,21
"860000223","NOUVELLE-AQUITAINE","public academic","ROB",60,148,40.5
"870000064","NOUVELLE-AQUITAINE","public academic","ROB",15,43,34.9
"890975550","BOURGOGNE-FRANCHE-COMTÃ‰","public","ROB",52,138,37.7
"910020254","ILE-DE-FRANCE","public","ROB",28,51,54.9
"910300177","ILE-DE-FRANCE","private for profit","ROB",12,155,7.7
"910803543","ILE-DE-FRANCE","private for profit","ROB",4,199,2
"920000643","ILE-DE-FRANCE","private not-for-profit","ROB",8,59,13.6
"920000650","ILE-DE-FRANCE","private not-for-profit","ROB",15,44,34.1
"920029550","ILE-DE-FRANCE","private for profit","ROB",1,104,1
"920100021","ILE-DE-FRANCE","public academic","ROB",49,284,17.3
"930000286","ILE-DE-FRANCE","public","ROB",2,45,4.4
"930000328","ILE-DE-FRANCE","public","ROB",12,97,12.4
"930100037","ILE-DE-FRANCE","public academic","ROB",24,129,18.6
"930300595","ILE-DE-FRANCE","private for profit","ROB",17,91,18.7
"940000573","ILE-DE-FRANCE","public","ROB",46,186,24.7
"940006679","ILE-DE-FRANCE","private for profit","ROB",2,187,1.1
"950000323","ILE-DE-FRANCE","public","ROB",14,57,24.6
"950000364","ILE-DE-FRANCE","public","ROB",1,98,1
"970100392","GUADELOUPE","public","ROB",4,27,14.8
"970400024","LA RÃ‰UNION","public academic","ROB",51,78,65.4
