"lib_reg","annee","baria_t","n","pct"
"AUVERGNE-RHÃ”NE-ALPES",2021,"ANN",470,9
"AUVERGNE-RHÃ”NE-ALPES",2021,"BPG",1265,24.2
"AUVERGNE-RHÃ”NE-ALPES",2021,"DBP",19,0.4
"AUVERGNE-RHÃ”NE-ALPES",2021,"SLE",3474,66.4
"AUVERGNE-RHÃ”NE-ALPES",2022,"ANN",385,8.5
"AUVERGNE-RHÃ”NE-ALPES",2022,"BPG",1132,25
"AUVERGNE-RHÃ”NE-ALPES",2022,"DBP",14,0.3
"AUVERGNE-RHÃ”NE-ALPES",2022,"SLE",3003,66.2
"AUVERGNE-RHÃ”NE-ALPES",2023,"ANN",376,8.7
"AUVERGNE-RHÃ”NE-ALPES",2023,"BPG",1180,27.4
"AUVERGNE-RHÃ”NE-ALPES",2023,"DBP",21,0.5
"AUVERGNE-RHÃ”NE-ALPES",2023,"SLE",2735,63.4
"AUVERGNE-RHÃ”NE-ALPES",2024,"ANN",335,8.2
"AUVERGNE-RHÃ”NE-ALPES",2024,"BPG",1103,27.1
"AUVERGNE-RHÃ”NE-ALPES",2024,"DBP",7,0.2
"AUVERGNE-RHÃ”NE-ALPES",2024,"SLE",2623,64.5
"AUVERGNE-RHÃ”NE-ALPES",2025,"ANN",165,8.1
"AUVERGNE-RHÃ”NE-ALPES",2025,"BPG",568,27.8
"AUVERGNE-RHÃ”NE-ALPES",2025,"DBP",6,0.3
"AUVERGNE-RHÃ”NE-ALPES",2025,"SLE",1305,63.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"ANN",53,3.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"BPG",550,35.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"DBP",3,0.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2021,"SLE",961,61.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"ANN",34,2.5
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"BPG",516,38.2
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"DBP",5,0.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2022,"SLE",797,58.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"ANN",34,2.6
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"BPG",534,41.4
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"DBP",1,0.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2023,"SLE",720,55.9
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"ANN",34,2.7
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"BPG",523,41.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"DBP",4,0.3
"BOURGOGNE-FRANCHE-COMTÃ‰",2024,"SLE",689,55.1
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"ANN",13,1.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"BPG",272,37.8
"BOURGOGNE-FRANCHE-COMTÃ‰",2025,"SLE",434,60.4
"BRETAGNE",2021,"ANN",12,1
"BRETAGNE",2021,"BPG",727,58
"BRETAGNE",2021,"DBP",6,0.5
"BRETAGNE",2021,"SLE",508,40.5
"BRETAGNE",2022,"ANN",11,0.9
"BRETAGNE",2022,"BPG",703,59.1
"BRETAGNE",2022,"DBP",9,0.8
"BRETAGNE",2022,"SLE",466,39.2
"BRETAGNE",2023,"ANN",12,1
"BRETAGNE",2023,"BPG",751,62.8
"BRETAGNE",2023,"DBP",5,0.4
"BRETAGNE",2023,"SLE",428,35.8
"BRETAGNE",2024,"ANN",5,0.5
"BRETAGNE",2024,"BPG",656,62
"BRETAGNE",2024,"DBP",3,0.3
"BRETAGNE",2024,"SLE",394,37.2
"BRETAGNE",2025,"ANN",2,0.4
"BRETAGNE",2025,"BPG",339,64.4
"BRETAGNE",2025,"DBP",1,0.2
"BRETAGNE",2025,"SLE",184,35
"CENTRE-VAL DE LOIRE",2021,"ANN",2,0.3
"CENTRE-VAL DE LOIRE",2021,"BPG",239,34.3
"CENTRE-VAL DE LOIRE",2021,"SLE",456,65.4
"CENTRE-VAL DE LOIRE",2022,"BPG",255,35
"CENTRE-VAL DE LOIRE",2022,"DBP",9,1.2
"CENTRE-VAL DE LOIRE",2022,"SLE",464,63.7
"CENTRE-VAL DE LOIRE",2023,"BPG",280,37
"CENTRE-VAL DE LOIRE",2023,"SLE",476,63
"CENTRE-VAL DE LOIRE",2024,"ANN",1,0.1
"CENTRE-VAL DE LOIRE",2024,"BPG",252,36.8
"CENTRE-VAL DE LOIRE",2024,"SLE",432,63.1
"CENTRE-VAL DE LOIRE",2025,"BPG",116,31.2
"CENTRE-VAL DE LOIRE",2025,"SLE",256,68.8
"CORSE",2021,"ANN",3,2.3
"CORSE",2021,"BPG",43,33.6
"CORSE",2021,"SLE",82,64.1
"CORSE",2022,"ANN",2,1.9
"CORSE",2022,"BPG",25,24.3
"CORSE",2022,"SLE",76,73.8
"CORSE",2023,"ANN",1,1.1
"CORSE",2023,"BPG",26,28.3
"CORSE",2023,"SLE",65,70.7
"CORSE",2024,"ANN",1,1.2
"CORSE",2024,"BPG",27,32.1
"CORSE",2024,"SLE",56,66.7
"CORSE",2025,"BPG",20,36.4
"CORSE",2025,"SLE",35,63.6
"GRAND EST",2021,"ANN",58,1.8
"GRAND EST",2021,"BPG",1251,39.8
"GRAND EST",2021,"DBP",11,0.4
"GRAND EST",2021,"SLE",1822,58
"GRAND EST",2022,"ANN",28,0.9
"GRAND EST",2022,"BPG",1324,42.5
"GRAND EST",2022,"DBP",13,0.4
"GRAND EST",2022,"SLE",1753,56.2
"GRAND EST",2023,"ANN",34,1.1
"GRAND EST",2023,"BPG",1463,46
"GRAND EST",2023,"DBP",17,0.5
"GRAND EST",2023,"SLE",1665,52.4
"GRAND EST",2024,"ANN",11,0.4
"GRAND EST",2024,"BPG",1291,45.7
"GRAND EST",2024,"DBP",5,0.2
"GRAND EST",2024,"SLE",1517,53.7
"GRAND EST",2025,"ANN",8,0.5
"GRAND EST",2025,"BPG",721,48.6
"GRAND EST",2025,"DBP",3,0.2
"GRAND EST",2025,"SLE",752,50.7
"GUADELOUPE",2021,"BPG",17,8.6
"GUADELOUPE",2021,"SLE",180,91.4
"GUADELOUPE",2022,"BPG",16,6.7
"GUADELOUPE",2022,"SLE",224,93.3
"GUADELOUPE",2023,"BPG",5,2.1
"GUADELOUPE",2023,"DBP",1,0.4
"GUADELOUPE",2023,"SLE",233,97.5
"GUADELOUPE",2024,"BPG",9,5
"GUADELOUPE",2024,"SLE",172,95
"GUADELOUPE",2025,"BPG",2,2.8
"GUADELOUPE",2025,"SLE",70,97.2
"HAUTS-DE-FRANCE",2021,"ANN",95,2.4
"HAUTS-DE-FRANCE",2021,"BPG",1014,25.5
"HAUTS-DE-FRANCE",2021,"DBP",12,0.3
"HAUTS-DE-FRANCE",2021,"SLE",2854,71.8
"HAUTS-DE-FRANCE",2022,"ANN",57,1.4
"HAUTS-DE-FRANCE",2022,"BPG",1037,26.2
"HAUTS-DE-FRANCE",2022,"DBP",3,0.1
"HAUTS-DE-FRANCE",2022,"SLE",2862,72.3
"HAUTS-DE-FRANCE",2023,"ANN",66,1.7
"HAUTS-DE-FRANCE",2023,"BPG",1127,29.2
"HAUTS-DE-FRANCE",2023,"SLE",2666,69.1
"HAUTS-DE-FRANCE",2024,"ANN",60,1.7
"HAUTS-DE-FRANCE",2024,"BPG",1105,31.1
"HAUTS-DE-FRANCE",2024,"DBP",1,0
"HAUTS-DE-FRANCE",2024,"SLE",2389,67.2
"HAUTS-DE-FRANCE",2025,"ANN",34,1.8
"HAUTS-DE-FRANCE",2025,"BPG",574,30.6
"HAUTS-DE-FRANCE",2025,"SLE",1265,67.5
"ILE-DE-FRANCE",2021,"ANN",167,2.2
"ILE-DE-FRANCE",2021,"BPG",1517,20.2
"ILE-DE-FRANCE",2021,"DBP",49,0.7
"ILE-DE-FRANCE",2021,"SLE",5773,76.9
"ILE-DE-FRANCE",2022,"ANN",176,2.5
"ILE-DE-FRANCE",2022,"BPG",1519,21.8
"ILE-DE-FRANCE",2022,"DBP",30,0.4
"ILE-DE-FRANCE",2022,"SLE",5232,75.2
"ILE-DE-FRANCE",2023,"ANN",108,1.7
"ILE-DE-FRANCE",2023,"BPG",1403,22.2
"ILE-DE-FRANCE",2023,"DBP",14,0.2
"ILE-DE-FRANCE",2023,"SLE",4795,75.9
"ILE-DE-FRANCE",2024,"ANN",76,1.4
"ILE-DE-FRANCE",2024,"BPG",1339,24.2
"ILE-DE-FRANCE",2024,"DBP",22,0.4
"ILE-DE-FRANCE",2024,"SLE",4093,74
"ILE-DE-FRANCE",2025,"ANN",23,0.8
"ILE-DE-FRANCE",2025,"BPG",731,25.3
"ILE-DE-FRANCE",2025,"DBP",7,0.2
"ILE-DE-FRANCE",2025,"SLE",2130,73.7
"LA RÃ‰UNION",2021,"BPG",42,10.3
"LA RÃ‰UNION",2021,"DBP",7,1.7
"LA RÃ‰UNION",2021,"SLE",358,88
"LA RÃ‰UNION",2022,"BPG",80,16.7
"LA RÃ‰UNION",2022,"DBP",3,0.6
"LA RÃ‰UNION",2022,"SLE",397,82.7
"LA RÃ‰UNION",2023,"BPG",62,13.1
"LA RÃ‰UNION",2023,"DBP",6,1.3
"LA RÃ‰UNION",2023,"SLE",406,85.7
"LA RÃ‰UNION",2024,"BPG",68,17.1
"LA RÃ‰UNION",2024,"DBP",1,0.3
"LA RÃ‰UNION",2024,"SLE",329,82.7
"LA RÃ‰UNION",2025,"BPG",32,19.3
"LA RÃ‰UNION",2025,"SLE",134,80.7
"MARTINIQUE",2021,"ANN",9,10.2
"MARTINIQUE",2021,"BPG",20,22.7
"MARTINIQUE",2021,"DBP",1,1.1
"MARTINIQUE",2021,"SLE",58,65.9
"MARTINIQUE",2022,"ANN",2,2.5
"MARTINIQUE",2022,"BPG",28,35
"MARTINIQUE",2022,"SLE",50,62.5
"MARTINIQUE",2023,"ANN",2,2.2
"MARTINIQUE",2023,"BPG",12,13.2
"MARTINIQUE",2023,"SLE",77,84.6
"MARTINIQUE",2024,"ANN",1,1.2
"MARTINIQUE",2024,"BPG",8,9.9
"MARTINIQUE",2024,"SLE",72,88.9
"MARTINIQUE",2025,"ANN",2,5.6
"MARTINIQUE",2025,"BPG",3,8.3
"MARTINIQUE",2025,"SLE",31,86.1
"NORMANDIE",2021,"ANN",14,0.8
"NORMANDIE",2021,"BPG",586,31.7
"NORMANDIE",2021,"DBP",10,0.5
"NORMANDIE",2021,"SLE",1240,67
"NORMANDIE",2022,"ANN",8,0.4
"NORMANDIE",2022,"BPG",601,33.1
"NORMANDIE",2022,"DBP",3,0.2
"NORMANDIE",2022,"SLE",1203,66.3
"NORMANDIE",2023,"ANN",8,0.5
"NORMANDIE",2023,"BPG",613,36.8
"NORMANDIE",2023,"DBP",8,0.5
"NORMANDIE",2023,"SLE",1037,62.2
"NORMANDIE",2024,"ANN",7,0.5
"NORMANDIE",2024,"BPG",537,34.6
"NORMANDIE",2024,"DBP",2,0.1
"NORMANDIE",2024,"SLE",1006,64.8
"NORMANDIE",2025,"ANN",2,0.2
"NORMANDIE",2025,"BPG",278,33.7
"NORMANDIE",2025,"SLE",544,66
"NOUVELLE-AQUITAINE",2021,"ANN",7,0.3
"NOUVELLE-AQUITAINE",2021,"BPG",979,36.4
"NOUVELLE-AQUITAINE",2021,"DBP",8,0.3
"NOUVELLE-AQUITAINE",2021,"SLE",1696,63
"NOUVELLE-AQUITAINE",2022,"ANN",11,0.4
"NOUVELLE-AQUITAINE",2022,"BPG",1019,39.7
"NOUVELLE-AQUITAINE",2022,"DBP",11,0.4
"NOUVELLE-AQUITAINE",2022,"SLE",1525,59.4
"NOUVELLE-AQUITAINE",2023,"ANN",7,0.3
"NOUVELLE-AQUITAINE",2023,"BPG",1009,39.2
"NOUVELLE-AQUITAINE",2023,"DBP",9,0.3
"NOUVELLE-AQUITAINE",2023,"SLE",1548,60.2
"NOUVELLE-AQUITAINE",2024,"ANN",11,0.4
"NOUVELLE-AQUITAINE",2024,"BPG",1061,40.8
"NOUVELLE-AQUITAINE",2024,"DBP",4,0.2
"NOUVELLE-AQUITAINE",2024,"SLE",1525,58.6
"NOUVELLE-AQUITAINE",2025,"ANN",1,0.1
"NOUVELLE-AQUITAINE",2025,"BPG",487,40
"NOUVELLE-AQUITAINE",2025,"DBP",1,0.1
"NOUVELLE-AQUITAINE",2025,"SLE",727,59.8
"OCCITANIE",2021,"ANN",24,0.6
"OCCITANIE",2021,"BPG",1425,37.8
"OCCITANIE",2021,"DBP",5,0.1
"OCCITANIE",2021,"SLE",2312,61.4
"OCCITANIE",2022,"ANN",24,0.7
"OCCITANIE",2022,"BPG",1385,37.9
"OCCITANIE",2022,"DBP",6,0.2
"OCCITANIE",2022,"SLE",2240,61.3
"OCCITANIE",2023,"ANN",20,0.6
"OCCITANIE",2023,"BPG",1201,36.8
"OCCITANIE",2023,"DBP",7,0.2
"OCCITANIE",2023,"SLE",2036,62.4
"OCCITANIE",2024,"ANN",11,0.4
"OCCITANIE",2024,"BPG",1119,37.4
"OCCITANIE",2024,"DBP",6,0.2
"OCCITANIE",2024,"SLE",1855,62
"OCCITANIE",2025,"ANN",13,0.9
"OCCITANIE",2025,"BPG",498,35
"OCCITANIE",2025,"DBP",4,0.3
"OCCITANIE",2025,"SLE",906,63.8
"PAYS DE LA LOIRE",2021,"ANN",7,0.5
"PAYS DE LA LOIRE",2021,"BPG",644,43.2
"PAYS DE LA LOIRE",2021,"DBP",36,2.4
"PAYS DE LA LOIRE",2021,"SLE",804,53.9
"PAYS DE LA LOIRE",2022,"ANN",3,0.2
"PAYS DE LA LOIRE",2022,"BPG",665,43.8
"PAYS DE LA LOIRE",2022,"DBP",31,2
"PAYS DE LA LOIRE",2022,"SLE",821,54
"PAYS DE LA LOIRE",2023,"ANN",3,0.2
"PAYS DE LA LOIRE",2023,"BPG",612,44.4
"PAYS DE LA LOIRE",2023,"DBP",16,1.2
"PAYS DE LA LOIRE",2023,"SLE",746,54.2
"PAYS DE LA LOIRE",2024,"ANN",6,0.5
"PAYS DE LA LOIRE",2024,"BPG",554,42.6
"PAYS DE LA LOIRE",2024,"DBP",9,0.7
"PAYS DE LA LOIRE",2024,"SLE",732,56.3
"PAYS DE LA LOIRE",2025,"ANN",3,0.5
"PAYS DE LA LOIRE",2025,"BPG",278,43.7
"PAYS DE LA LOIRE",2025,"DBP",13,2
"PAYS DE LA LOIRE",2025,"SLE",342,53.8
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"ANN",77,2.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"BPG",990,27.6
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"DBP",5,0.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2021,"SLE",2517,70.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"ANN",47,1.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"BPG",1002,30.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"DBP",6,0.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2022,"SLE",2231,67.9
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"ANN",70,2.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"BPG",1047,33.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"DBP",7,0.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2023,"SLE",2002,64
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"ANN",67,2.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"BPG",957,34.1
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"DBP",5,0.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2024,"SLE",1781,63.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"ANN",35,2.2
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"BPG",534,33.5
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"DBP",6,0.4
"PROVENCE-ALPES-CÃ”TE D'AZUR",2025,"SLE",1017,63.9
